@relation InstanceResultListener

@attribute Key_Dataset {data/beck-s}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data/beck-s,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0513,1749,195,90,105,0,46.153846,53.846154,0,0.442387,0.010726,0.098198,55.016126,99.502336,1150.644765,4283.614515,-3132.96975,5.900742,21.967254,-16.066512,503.397705,2.581527,8417.938216,0.25,1,0.010471,2,0.989529,189,0.75,3,0.333333,0.25,0.285714,0.275863,0.83377,0.318176,0.461538,0.019563,0.980437,0.538462,0.384274,0.461538,0.396912,0.396986,0.924175,0.553253,0.278151,0.461538,0.051,0.429,0.05,0.42,4025958,11040776,1348478,52.307692,1.4,?
data/beck-s,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0513,1749,195,88,107,0,45.128205,54.871795,0,0.431099,0.010904,0.098722,55.94905,100.069548,1147.495128,4266.04155,-3118.546422,5.88459,21.877136,-15.992546,508.486024,2.607621,8500.783329,0.5,2,0.031414,6,0.968586,185,0.5,2,0.25,0.5,0.333333,0.334866,0.913613,0.548256,0.451282,0.022247,0.977753,0.548718,0.450056,0.451282,0.411382,0.414304,0.915092,0.580423,0.276552,0.451282,0.049,0.425,0.05,0.42,4025958,11040776,1348478,51.282051,1.410256,?
data/beck-s,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0513,1749,195,109,86,0,55.897436,44.102564,0,0.544838,0.008967,0.088848,45.996074,90.035767,1153.610323,4560.950269,-3407.339946,5.91595,23.389489,-17.473538,604.259836,3.098768,10107.566241,0.5,2,0.020942,4,0.979058,187,0.5,2,0.333333,0.5,0.4,0.393213,0.973822,0.646382,0.558974,0.013234,0.986766,0.441026,0.534,0.558974,0.515297,0.521017,0.915919,0.645838,0.346087,0.558974,0.049,0.423,0.05,0.42,4025958,11040776,1348478,60,1.4,?
data/beck-s,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0513,1749,195,90,105,0,46.153846,53.846154,0,0.44316,0.010773,0.09765,55.248764,98.932276,1158.177739,4536.564154,-3378.386415,5.939373,23.264432,-17.325059,502.543132,2.577144,8409.710073,0.25,1,0.036649,7,0.963351,184,0.75,3,0.125,0.25,0.166667,0.152467,0.780105,0.129353,0.461538,0.017545,0.982455,0.538462,0.416996,0.461538,0.415127,0.414911,0.914236,0.570616,0.2649,0.461538,0.048,0.418,0.05,0.41,4025958,11040776,1348478,51.794872,1.441026,?
data/beck-s,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0513,1750,194,102,92,0,52.57732,47.42268,0,0.50882,0.009575,0.09199,49.111228,93.203798,1149.417481,4060.460574,-2911.043093,5.924832,20.930209,-15.005377,572.098192,2.94896,9571.517289,1,4,0.031579,6,0.968421,184,0,0,0.4,1,0.571429,0.622389,0.998684,0.95,0.525773,0.018359,0.981641,0.474227,0.462939,0.525773,0.4667,0.468159,0.94222,0.611155,0.313063,0.525773,0.047,0.417,0.05,0.41,4025958,11047013,1342241,57.731959,1.427835,?
data/beck-s,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0513,1750,194,88,106,0,45.360825,54.639175,0,0.435272,0.010899,0.09964,55.902305,100.961012,1151.791261,4852.312764,-3700.521503,5.937068,25.011921,-19.074853,490.576956,2.528747,8209.372078,0.5,2,0.021053,4,0.978947,186,0.5,2,0.333333,0.5,0.4,0.393133,0.977632,0.65625,0.453608,0.019482,0.980518,0.546392,0.421508,0.453608,0.413791,0.411146,0.917914,0.534639,0.290067,0.453608,0.049,0.42,0.05,0.42,4025958,11047013,1342241,50.515464,1.376289,?
data/beck-s,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0513,1750,194,91,103,0,46.907216,53.092784,0,0.451119,0.010604,0.096884,54.396899,98.186941,1145.647744,4814.605444,-3668.957701,5.905401,24.817554,-18.912153,513.517745,2.646999,8588.278509,0.5,2,0.084211,16,0.915789,174,0.5,2,0.111111,0.5,0.181818,0.203652,0.698684,0.366151,0.469072,0.016526,0.983474,0.530928,0.436164,0.469072,0.422233,0.425632,0.905844,0.531583,0.289634,0.469072,0.048,0.419,0.05,0.42,4025958,11047013,1342241,52.061856,1.443299,?
data/beck-s,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0513,1750,194,96,98,0,49.484536,50.515464,0,0.479109,0.010156,0.095588,52.085269,96.837333,1151.600992,4164.444019,-3012.843027,5.936088,21.466206,-15.530119,547.08032,2.820002,9154.431422,0.75,3,0.026316,5,0.973684,185,0.25,1,0.375,0.75,0.5,0.517195,0.990789,0.840909,0.494845,0.015314,0.984686,0.505155,0.453387,0.494845,0.449832,0.450277,0.92582,0.598998,0.324055,0.494845,0.05,0.419,0.04,0.42,4025958,11047013,1342241,54.639175,1.35567,?
data/beck-s,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0513,1750,194,95,99,0,48.969072,51.030928,0,0.473765,0.010209,0.09559,52.349829,96.824943,1153.832222,4361.562298,-3207.730076,5.947589,22.48228,-16.534691,522.440481,2.692992,8743.706271,0.75,3,0.015789,3,0.984211,187,0.25,1,0.5,0.75,0.6,0.602661,0.976316,0.654167,0.489691,0.014359,0.985641,0.510309,0.437576,0.489691,0.439095,0.440708,0.913867,0.595587,0.289709,0.489691,0.054,0.412,0.05,0.41,4025958,11047013,1342241,53.092784,1.443299,?
